Manga ID,Manga URL,English Title,Synonims Titles,Japanese Title,Type,Volumes,Chapters,Status,Published,Published Dates,Genres,Author,Serialization,Score,Ranked,Popularity,Members,Favorites,Score Voted By
81669,https://myanimelist.net/manga/81669/Overlord,Overlord,Over Lord,オーバーロード,Novel,Unknown,Unknown,Publishing,"Jul  30, 2012 to ?","{'from': '2012-07-30', 'to': 'Unknown'}","['Action', 'Fantasy', 'Game', 'Magic', 'Supernatural']","['Maruyama, Kugane (Story)', ' so-bin (Art)']",None,8.73,39,229,36346,2478,12174
100448,https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de,I sold my life for ten thousand yen per year.,"Mikkakan no Koufuku, Three Days of Happiness",寿命を買い取ってもらった。一年につき、一万円で。,Manga,3,18,Finished,"Aug  10, 2016 to Oct  25, 2017","{'from': '2016-08-10', 'to': '2017-10-25'}","['Drama', 'Shounen']","['Taguchi, Shouichi (Art)', ' Miaki, Sugaru (Story)']",Shounen Jump+,8.72,40,186,42114,3297,20693
664,https://myanimelist.net/manga/664/Akira,Akira,Unknown,AKIRA,Manga,6,120,Finished,"Dec  6, 1982 to Jun  11, 1990","{'from': '1982-12-06', 'to': '1990-06-11'}","['Action', 'Sci', 'Sci', 'Seinen']","['Otomo, Katsuhiro (Story & Art)']",Young Magazine (Weekly),8.72,41,92,68965,4770,24654
28,https://myanimelist.net/manga/28/Nana,Nana,Unknown,NANA,Manga,21,84,On Hiatus,"May  26, 2000 to May  26, 2009","{'from': '2000-05-26', 'to': '2009-05-26'}","['Drama', 'Music', 'Romance', 'Shoujo', 'Slice', 'Slice']","['Yazawa, Ai (Story & Art)']",Cookie,8.7,42,106,64056,7235,25381
26,https://myanimelist.net/manga/26/Hunter_x_Hunter,Hunter x Hunter,HxH,HUNTER×HUNTER,Manga,Unknown,Unknown,Publishing,"Mar  3, 1998 to ?","{'from': '1998-03-03', 'to': 'Unknown'}","['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super', 'Super']","['Togashi, Yoshihiro (Story & Art)']",Shounen Jump (Weekly),8.69,43,17,148593,16397,70700
11734,https://myanimelist.net/manga/11734/Watashitachi_no_Shiawase_na_Jikan,Unknown,"Watashi-tachi no Shiawase na Jikan, Our Happy Hours, Our Happy Time",私たちの幸せな時間,Manga,1,8,Finished,"Mar  28, 2008 to Aug  22, 2008","{'from': '2008-03-28', 'to': '2008-08-22'}","['Drama', 'Music', 'Romance', 'Slice', 'Slice', 'Psychological', 'Seinen']","['Yumeka, Sumomo (Art)']",Comic Bunch,8.69,44,67,81505,4394,40548
89357,https://myanimelist.net/manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,Classroom of the Elite,Unknown,ようこそ実力至上主義の教室へ,Novel,Unknown,Unknown,Publishing,"May  25, 2015 to ?","{'from': '2015-05-25', 'to': 'Unknown'}","['Drama', 'School', 'Psychological']","['Tomose, Shunsaku (Art)', ' Kinugasa, Shougo (Story)']",None,8.69,45,459,20476,1256,4459
78523,https://myanimelist.net/manga/78523/ReLIFE,ReLIFE,Unknown,ReLIFE,Manga,Unknown,237,Finished,"Oct  12, 2013 to Mar  16, 2018","{'from': '2013-10-12', 'to': '2018-03-16'}","['Comedy', 'Drama', 'Romance', 'School', 'Slice', 'Slice']","['Yayoi, Sou (Story & Art)']",comico,8.68,46,44,101205,9126,49908
24875,https://myanimelist.net/manga/24875/Shinyaku_Toaru_Majutsu_no_Index,Unknown,A Certain Magical Index: New Testament,新約 とある魔術の禁書目録,Novel,23,178,Finished,"Mar  10, 2011 to Jul  10, 2019","{'from': '2011-03-10', 'to': '2019-07-10'}","['Action', 'Comedy', 'Fantasy', 'Magic', 'Sci', 'Sci', 'Super', 'Super', 'Supernatural']","['Kamachi, Kazuma (Story)', ' Haimura, Kiyotaka (Art)']",None,8.68,47,1144,9669,740,2767
7,https://myanimelist.net/manga/7/Hajime_no_Ippo,Unknown,"The Fighting!, Fighting Spirit, The Fighting! Ippo, Hajime no Ippo Gaiden: Naniwa Tiger",はじめの一歩,Manga,Unknown,Unknown,Publishing,"Sep  27, 1989 to ?","{'from': '1989-09-27', 'to': 'Unknown'}","['Action', 'Comedy', 'Drama', 'Shounen', 'Sports']","['Morikawa, George (Story & Art)']",Shounen Magazine (Weekly),8.68,48,158,48463,4707,22862
145,https://myanimelist.net/manga/145/Beck,BECK: Mongolian Chop Squad,Unknown,BECK,Manga,34,103,Finished,"Feb  17, 2000 to Jun  5, 2008","{'from': '2000-02-17', 'to': '2008-06-05'}","['Comedy', 'Drama', 'Music', 'Romance', 'Shounen', 'Slice', 'Slice']","['Sakuishi, Harold (Story & Art)']",Shounen Magazine (Monthly),8.68,49,207,39729,3111,17352
904,https://myanimelist.net/manga/904/Kozure_Ookami,Lone Wolf & Cub,Lone Wolf and Cub,子連れ狼,Manga,28,142,Finished,Sep 1970 to Apr 1976,"{'from': '1970-09-00', 'to': '1976-04-00'}","['Action', 'Historical', 'Samurai', 'Seinen']","['Koike, Kazuo (Story)', ' Kojima, Goseki (Art)']",Manga Action,8.67,50,358,26258,1146,4551
