Manga ID,Manga URL,English Title,Synonims Titles,Japanese Title,Type,Volumes,Chapters,Status,Published,Published Dates,Genres,Author,Serialization,Score,Ranked,Popularity,Members,Favorites,Score Voted By
3031,https://myanimelist.net/manga/3031/Pandora_Hearts,Pandora Hearts,Unknown,PandoraHearts,Manga,24,107,Finished,"May  18, 2006 to Mar  18, 2015","{'from': '2006-05-18', 'to': '2015-03-18'}","['Adventure', 'Mystery', 'Fantasy', 'Shounen', 'Supernatural']","['Mochizuki, Jun (Story & Art)']",GFantasy,8.62,71,35,113839,14356,45264
45143,https://myanimelist.net/manga/45143/Kono_Oto_Tomare,Unknown,Stop This Sound!,この音とまれ！,Manga,Unknown,Unknown,Publishing,"Aug  4, 2012 to ?","{'from': '2012-08-04', 'to': 'Unknown'}","['Drama', 'School', 'Shounen']","['Sakura, Amyuu (Story & Art)']",Jump SQ.,8.62,72,567,17470,965,4849
44307,https://myanimelist.net/manga/44307/Kakukaku_Shikajika,Blank Canvas: My So-Called Artist's Journey,Unknown,かくかくしかじか,Manga,5,34,Finished,"Nov  28, 2011 to Jan  28, 2015","{'from': '2011-11-28', 'to': '2015-01-28'}","['Slice', 'Slice', 'Josei']","['Higashimura, Akiko (Story & Art)']",Cocohana,8.61,73,641,15746,800,4603
60783,https://myanimelist.net/manga/60783/Mob_Psycho_100,One Hundred Mob Psycho,Unknown,モブサイコ100,Manga,16,109,Finished,"Apr  18, 2012 to Dec  22, 2017","{'from': '2012-04-18', 'to': '2017-12-22'}","['Action', 'Comedy', 'Supernatural']",['ONE (Story & Art)'],MangaONE,8.61,74,124,58614,3756,22949
74697,https://myanimelist.net/manga/74697/Re_Zero_kara_Hajimeru_Isekai_Seikatsu,Re:ZERO -Starting Life in Another World-,"ReZero, Re: Life in a different world from zero",Re：ゼロから始める異世界生活,Novel,Unknown,Unknown,Publishing,"Jan  23, 2014 to ?","{'from': '2014-01-23', 'to': 'Unknown'}","['Action', 'Drama', 'Fantasy']","['Nagatsuki, Tappei (Story)', ' Ootsuka, Shinichirou (Art)']",None,8.61,75,249,34895,2777,8671
1133,https://myanimelist.net/manga/1133/Dorohedoro,Dorohedoro,Unknown,ドロヘドロ,Manga,23,190,Finished,"Nov  30, 2000 to Sep  12, 2018","{'from': '2000-11-30', 'to': '2018-09-12'}","['Action', 'Comedy', 'Fantasy', 'Horror', 'Seinen']","['Hayashida, Q (Story & Art)']",Ikki,8.61,76,100,67067,5394,19603
3649,https://myanimelist.net/manga/3649/Fate_Zero,Unknown,Unknown,Fate/Zero,Novel,4,18,Finished,"Dec  29, 2006 to Dec  29, 2007","{'from': '2006-12-29', 'to': '2007-12-29'}","['Action', 'Fantasy', 'Supernatural']","['Takeuchi, Takashi (Art)', ' Urobuchi, Gen (Story)']",None,8.61,77,506,19033,822,5732
11327,https://myanimelist.net/manga/11327/One_Outs,Unknown,Unknown,ONE OUTS,Manga,20,175,Finished,"Nov  14, 1998 to Aug  15, 2006","{'from': '1998-11-14', 'to': '2006-08-15'}","['Sports', 'Psychological', 'Seinen']","['Kaitani, Shinobu (Story & Art)']",Business Jump,8.6,78,514,18892,934,7360
23390,https://myanimelist.net/manga/23390/Shingeki_no_Kyojin,Attack on Titan,Unknown,進撃の巨人,Manga,Unknown,Unknown,Publishing,"Sep  9, 2009 to ?","{'from': '2009-09-09', 'to': 'Unknown'}","['Action', 'Mystery', 'Drama', 'Fantasy', 'Horror', 'Shounen', 'Super', 'Super', 'Supernatural']","['Isayama, Hajime (Story & Art)']",Bessatsu Shounen Magazine,8.6,79,1,312183,40550,158437
48399,https://myanimelist.net/manga/48399/No_Game_No_Life,No Game No Life,NGNL,ノーゲーム・ノーライフ,Novel,Unknown,Unknown,Publishing,"Apr  25, 2012 to ?","{'from': '2012-04-25', 'to': 'Unknown'}","['Comedy', 'Ecchi', 'Fantasy', 'Game', 'Supernatural']","['Kamiya, Yuu (Story & Art)']",None,8.6,80,195,41238,2036,10579
98930,https://myanimelist.net/manga/98930/Violet_Evergarden,Unknown,Unknown,ヴァイオレット・エヴァーガーデン,Novel,2,13,Finished,"Dec  25, 2015 to Dec  26, 2016","{'from': '2015-12-25', 'to': '2016-12-26'}","['Drama', 'Fantasy']","['Akatsuki, Kana (Story)', ' Takase, Akiko (Art)']",None,8.6,81,801,13170,431,2477
28393,https://myanimelist.net/manga/28393/Sakamichi_no_Apollon,Unknown,"Sakamichi no Aporon, Kids on the Slope",坂道のアポロン,Manga,9,45,Finished,"Sep  28, 2007 to Jan  28, 2012","{'from': '2007-09-28', 'to': '2012-01-28'}","['Drama', 'Music', 'Romance', 'School', 'Slice', 'Slice', 'Josei']","['Kodama, Yuki (Story & Art)']",Flowers (Monthly),8.59,82,482,19732,792,7709
